Tiempo(s) | CPU_SLAM(%) | RAM_SLAM(MB) | GPU_SLAM(%) | VRAM_SLAM(MiB)
0 | 0.0 | 10.832 | 54 | 450
1 | 104 | 309.633 | 22 | 451
2 | 106 | 798.555 | 29 | 304
3 | 106 | 1463.23 | 1 | 304
4 | 85.0 | 2191.47 | 2 | 304
5 | 88.6 | 2259.12 | 4 | 304
6 | 91.1 | 2325.59 | 7 | 304
7 | 93.0 | 2389.96 | 4 | 304
8 | 94.5 | 2459.48 | 8 | 304
9 | 95.8 | 2530.78 | 8 | 304
10 | 96.7 | 2602.95 | 4 | 304
11 | 98.1 | 2817.73 | 20 | 474
12 | 101 | 2967.35 | 11 | 957
13 | 106 | 2969.29 | 88 | 957
14 | 111 | 2971.17 | 91 | 957
15 | 115 | 2972.67 | 86 | 973
16 | 119 | 2972.67 | 91 | 977
17 | 122 | 2973.67 | 88 | 977
18 | 124 | 2973.67 | 90 | 977
19 | 127 | 2988.9 | 87 | 1390
20 | 124 | 2990.87 | 98 | 1410
21 | 128 | 2991.68 | 98 | 1410
22 | 131 | 2995.88 | 98 | 1410
23 | 134 | 2997.36 | 99 | 1410
24 | 137 | 2997.81 | 98 | 1410
25 | 139 | 2999.28 | 98 | 1410
26 | 141 | 3000.19 | 98 | 1410
27 | 143 | 3001.54 | 99 | 1410
28 | 145 | 3002.33 | 98 | 1410
29 | 147 | 3003.36 | 100 | 1410
30 | 149 | 3003.5 | 99 | 1410
31 | 150 | 3008.57 | 99 | 1410
32 | 152 | 3009.28 | 99 | 1410
33 | 154 | 3010.18 | 99 | 1410
34 | 156 | 3011.4 | 98 | 1410
35 | 153 | 3011.82 | 97 | 1410
36 | 155 | 3012.63 | 97 | 1410
37 | 157 | 3014.46 | 97 | 1410
38 | 159 | 3016.47 | 95 | 1410
39 | 160 | 3016.64 | 97 | 1410
40 | 161 | 3016.68 | 98 | 1410
41 | 163 | 3016.83 | 97 | 1410
42 | 164 | 3017.33 | 100 | 1410
43 | 165 | 3017.53 | 98 | 1410
44 | 167 | 3020.67 | 100 | 1410
45 | 168 | 3020.79 | 96 | 1410
46 | 169 | 3021.55 | 99 | 1410
47 | 170 | 3021.55 | 98 | 1410
48 | 167 | 3022.43 | 97 | 1410
49 | 168 | 3023.66 | 99 | 1410
50 | 169 | 3023.66 | 98 | 1410
51 | 170 | 3024.44 | 98 | 1410
52 | 171 | 3025.14 | 99 | 1410
53 | 172 | 3025.14 | 97 | 1410
54 | 172 | 3025.82 | 98 | 1410
55 | 173 | 3026.97 | 99 | 1410
56 | 174 | 3026.97 | 98 | 1410
57 | 175 | 3028.22 | 97 | 1410
58 | 176 | 3029.23 | 98 | 1410
59 | 176 | 3029.23 | 97 | 1410
60 | 177 | 3030.34 | 97 | 1410
61 | 178 | 3030.34 | 99 | 1410
62 | 176 | 3031.37 | 97 | 1410
63 | 177 | 3031.57 | 100 | 1410
64 | 177 | 3031.57 | 98 | 1410
65 | 178 | 3031.57 | 98 | 1410
66 | 178 | 3031.58 | 100 | 1410
67 | 179 | 3031.58 | 98 | 1410
68 | 179 | 3033.79 | 99 | 1414
69 | 180 | 3034.01 | 99 | 1414
70 | 181 | 3034.43 | 98 | 1414
71 | 181 | 3034.43 | 99 | 1414
72 | 182 | 3034.83 | 97 | 1414
73 | 182 | 3035.08 | 98 | 1414
74 | 183 | 3035.09 | 99 | 1414
75 | 181 | 3035.1 | 98 | 1414
76 | 182 | 3035.1 | 98 | 1414
77 | 183 | 3035.25 | 97 | 1414
78 | 183 | 3035.55 | 98 | 1414
79 | 184 | 3035.77 | 100 | 1414
80 | 184 | 3036 | 97 | 1414
81 | 185 | 3036.24 | 97 | 1414
82 | 185 | 3036.24 | 97 | 1414
83 | 186 | 3036.49 | 98 | 1414
84 | 186 | 3036.74 | 98 | 1414
85 | 187 | 3037.02 | 98 | 1414
86 | 187 | 3037.38 | 99 | 1414
87 | 188 | 3037.38 | 98 | 1414
88 | 188 | 3037.62 | 98 | 1414
89 | 186 | 3037.85 | 98 | 1414
90 | 187 | 3038.06 | 97 | 1414
91 | 187 | 3038.25 | 99 | 1414
92 | 188 | 3038.48 | 98 | 1414
93 | 188 | 3038.48 | 97 | 1414
94 | 188 | 3038.7 | 98 | 1414
95 | 189 | 3038.95 | 98 | 1414
96 | 189 | 3039.17 | 99 | 1414
97 | 190 | 3039.38 | 98 | 1414
98 | 190 | 3039.63 | 98 | 1414
99 | 190 | 3039.63 | 97 | 1414
100 | 191 | 3040.02 | 99 | 1414
101 | 191 | 3040.35 | 98 | 1414
102 | 192 | 3040.58 | 98 | 1414
103 | 190 | 3040.79 | 97 | 1414
104 | 191 | 3041.01 | 100 | 1414
105 | 191 | 3041.01 | 97 | 1414
106 | 191 | 3041.23 | 98 | 1414
107 | 192 | 3041.78 | 100 | 1414
108 | 192 | 3041.78 | 96 | 1414
109 | 192 | 3042.47 | 98 | 1414
110 | 192 | 3042.47 | 99 | 1414
111 | 193 | 3042.72 | 96 | 1414
112 | 193 | 3042.94 | 100 | 1414
113 | 193 | 3042.94 | 96 | 1414
114 | 194 | 3043.47 | 99 | 1414
115 | 194 | 3043.47 | 96 | 1414
116 | 193 | 3044.32 | 98 | 1414
117 | 193 | 3045.04 | 98 | 1414
118 | 193 | 3045.04 | 100 | 1414
119 | 193 | 3045.82 | 96 | 1414
120 | 194 | 3045.82 | 100 | 1414
121 | 194 | 3046.64 | 96 | 1414
122 | 194 | 3047.09 | 99 | 1414
123 | 194 | 3047.09 | 97 | 1414
124 | 195 | 3047.88 | 98 | 1414
125 | 195 | 3047.88 | 99 | 1414
126 | 195 | 3048.29 | 97 | 1414
127 | 195 | 3048.53 | 100 | 1414
128 | 196 | 3048.53 | 98 | 1414
129 | 194 | 3049.08 | 99 | 1414
130 | 195 | 3049.95 | 98 | 1414
131 | 195 | 3049.95 | 96 | 1414
132 | 195 | 3050.44 | 100 | 1414
133 | 195 | 3050.44 | 100 | 1414
134 | 195 | 3051.36 | 97 | 1414
135 | 195 | 3052.45 | 98 | 1414
136 | 196 | 3052.45 | 99 | 1414
137 | 196 | 3053.46 | 97 | 1414
138 | 196 | 3054.5 | 99 | 1414
139 | 196 | 3054.52 | 97 | 1414
140 | 196 | 3055.66 | 98 | 1414
141 | 196 | 3055.66 | 99 | 1414
142 | 197 | 3056.71 | 97 | 1414
143 | 195 | 3057.67 | 100 | 1414
144 | 196 | 3057.67 | 98 | 1414
145 | 196 | 3061.73 | 98 | 1414
146 | 196 | 3061.73 | 96 | 1414
147 | 196 | 3061.76 | 97 | 1414
148 | 196 | 3061.78 | 99 | 1414
149 | 196 | 3061.78 | 99 | 1414
150 | 197 | 3062.3 | 98 | 1414
151 | 197 | 3067.41 | 98 | 1508
152 | 197 | 3067.41 | 99 | 1508
153 | 197 | 3069.67 | 97 | 1558
154 | 197 | 3069.67 | 100 | 1558
155 | 198 | 3069.67 | 97 | 1558
156 | 197 | 3069.67 | 99 | 1558
157 | 197 | 3069.68 | 96 | 1558
158 | 197 | 3071.64 | 100 | 1558
159 | 197 | 3071.64 | 97 | 1558
160 | 197 | 3073.21 | 98 | 1558
161 | 197 | 3073.34 | 99 | 1558
162 | 198 | 3069.82 | 98 | 1558
163 | 198 | 3072.04 | 99 | 1558
164 | 198 | 3072.04 | 98 | 1558
165 | 198 | 3074.04 | 98 | 1558
166 | 198 | 3074.34 | 99 | 1558
167 | 199 | 3074.34 | 100 | 1558
168 | 199 | 3075.12 | 98 | 1558
169 | 199 | 3075.12 | 100 | 1558
170 | 198 | 3075.53 | 98 | 1558
171 | 198 | 3075.53 | 99 | 1558
172 | 198 | 3075.81 | 98 | 1558
173 | 199 | 3076.8 | 99 | 1558
174 | 199 | 3076.8 | 98 | 1558
175 | 199 | 3077.43 | 100 | 1558
176 | 199 | 3077.43 | 97 | 1558
177 | 199 | 3078 | 97 | 1558
178 | 199 | 3072.75 | 99 | 1558
179 | 199 | 3074.18 | 98 | 1558
180 | 200 | 3076.26 | 100 | 1558
181 | 200 | 3076.26 | 100 | 1558
182 | 200 | 3077.97 | 98 | 1558
183 | 200 | 3079.76 | 98 | 1558
184 | 199 | 3079.76 | 99 | 1558
185 | 199 | 3081.43 | 97 | 1558
186 | 199 | 3081.52 | 99 | 1558
187 | 200 | 3081.61 | 98 | 1558
188 | 200 | 3081.74 | 100 | 1558
189 | 200 | 3081.74 | 98 | 1558
190 | 200 | 3081.84 | 100 | 1558
191 | 200 | 3081.84 | 99 | 1558
192 | 200 | 3082.05 | 98 | 1558
193 | 201 | 3082.05 | 100 | 1558
194 | 201 | 3082.76 | 98 | 1558
195 | 201 | 3083.52 | 99 | 1558
196 | 201 | 3083.52 | 99 | 1558
197 | 200 | 3084.26 | 98 | 1558
198 | 200 | 3084.26 | 100 | 1558
199 | 201 | 3084.92 | 97 | 1558
200 | 201 | 3085.25 | 99 | 1558
201 | 201 | 3085.25 | 98 | 1558
202 | 201 | 3085.74 | 98 | 1558
203 | 201 | 3085.74 | 99 | 1558
204 | 201 | 3086.09 | 97 | 1558
205 | 201 | 3086.09 | 99 | 1558
206 | 202 | 3086.37 | 98 | 1558
207 | 202 | 3086.64 | 100 | 1558
208 | 202 | 3086.64 | 98 | 1558
209 | 202 | 3086.94 | 100 | 1558
210 | 201 | 3086.94 | 97 | 1558
211 | 201 | 3087.22 | 99 | 1558
212 | 201 | 3087.46 | 98 | 1558
213 | 201 | 3087.48 | 98 | 1558
214 | 201 | 3087.64 | 99 | 1558
215 | 202 | 3087.64 | 99 | 1558
216 | 202 | 3087.96 | 96 | 1558
217 | 202 | 3087.96 | 99 | 1558
218 | 202 | 3088.33 | 98 | 1558
219 | 202 | 3088.6 | 99 | 1558
220 | 202 | 3088.6 | 98 | 1558
221 | 202 | 3088.81 | 99 | 1558
222 | 202 | 3088.81 | 96 | 1558
223 | 202 | 3089.45 | 98 | 1558
224 | 202 | 3089.73 | 98 | 1558
225 | 202 | 3089.73 | 96 | 1558
226 | 202 | 3090.1 | 100 | 1558
227 | 202 | 3090.1 | 96 | 1558
228 | 202 | 3090.65 | 96 | 1558
229 | 202 | 3091.79 | 100 | 1558
230 | 202 | 3091.79 | 96 | 1558
231 | 202 | 3092.3 | 98 | 1558
232 | 202 | 3092.3 | 98 | 1558
233 | 202 | 3093.13 | 98 | 1558
234 | 203 | 3093.13 | 100 | 1558
235 | 203 | 3094.15 | 95 | 1558
236 | 203 | 3094.55 | 99 | 1558
237 | 202 | 3094.57 | 97 | 1558
238 | 202 | 3095.38 | 99 | 1558
239 | 202 | 3095.38 | 96 | 1558
240 | 202 | 3096.18 | 99 | 1558
241 | 202 | 3097.11 | 97 | 1558
242 | 202 | 3097.11 | 96 | 1558
243 | 202 | 3097.64 | 99 | 1558
244 | 202 | 3097.64 | 99 | 1558
245 | 202 | 3098.15 | 98 | 1558
246 | 203 | 3098.71 | 99 | 1558
247 | 203 | 3098.73 | 97 | 1558
248 | 203 | 3099.23 | 100 | 1558
249 | 203 | 3099.23 | 97 | 1558
250 | 203 | 3099.8 | 98 | 1558
251 | 202 | 3099.8 | 98 | 1558
252 | 202 | 3100.96 | 98 | 1640
253 | 202 | 3100.96 | 100 | 1620
254 | 203 | 3102 | 98 | 1622
255 | 203 | 3102 | 100 | 1620
256 | 203 | 3102.68 | 97 | 1621
257 | 203 | 3102.68 | 98 | 1621
258 | 203 | 3103.22 | 98 | 1621
259 | 203 | 3104.3 | 99 | 1627
260 | 203 | 3104.34 | 100 | 1627
261 | 203 | 3105.23 | 97 | 1627
262 | 203 | 3105.23 | 98 | 1568
263 | 203 | 3105.82 | 98 | 1567
264 | 203 | 3105.82 | 99 | 1567
265 | 203 | 3106 | 97 | 1567
266 | 203 | 3106 | 99 | 1567
267 | 203 | 3101.9 | 98 | 1567
268 | 203 | 3102.73 | 100 | 1567
269 | 203 | 3101.92 | 94 | 1567
270 | 203 | 3101.94 | 99 | 1567
271 | 203 | 3101.94 | 97 | 1567
272 | 203 | 3101.97 | 100 | 1567
273 | 203 | 3102.12 | 97 | 1561
274 | 203 | 3102.65 | 98 | 1561
275 | 203 | 3103.73 | 98 | 1561
276 | 204 | 3103.73 | 100 | 1560
277 | 203 | 3104.2 | 96 | 1560
278 | 203 | 3104.21 | 100 | 1560
279 | 203 | 3104.46 | 98 | 1560
280 | 203 | 3104.46 | 98 | 1560
281 | 203 | 3104.92 | 98 | 1560
282 | 203 | 3104.92 | 100 | 1560
283 | 204 | 3105.18 | 97 | 1560
284 | 204 | 3105.18 | 100 | 1560
285 | 204 | 3106.76 | 96 | 1560
286 | 204 | 3107.01 | 100 | 1560
287 | 204 | 3107.04 | 98 | 1560
288 | 204 | 3107.56 | 100 | 1560
289 | 204 | 3107.56 | 98 | 1560
290 | 204 | 3108.94 | 98 | 1560
291 | 203 | 3108.94 | 100 | 1560
292 | 204 | 3110.48 | 96 | 1560
293 | 204 | 3110.48 | 100 | 1560
294 | 204 | 3110.89 | 97 | 1560
295 | 204 | 3110.89 | 99 | 1560
296 | 204 | 3111.74 | 98 | 1560
297 | 204 | 3112.21 | 100 | 1560
298 | 204 | 3112.21 | 96 | 1560
299 | 204 | 3112.62 | 99 | 1560
300 | 204 | 3112.62 | 98 | 1560
301 | 204 | 3113.14 | 100 | 1560
302 | 204 | 3113.14 | 95 | 1560
303 | 204 | 3113.56 | 100 | 1560
304 | 204 | 3113.56 | 98 | 1560
305 | 204 | 3113.95 | 100 | 1560
306 | 204 | 3113.95 | 100 | 1560
307 | 204 | 3114.51 | 97 | 1560
308 | 204 | 3115.35 | 99 | 1560
309 | 204 | 3115.35 | 96 | 1560
310 | 204 | 3115.71 | 97 | 1560
311 | 204 | 3115.71 | 98 | 1560
312 | 204 | 3116.17 | 95 | 1560
313 | 204 | 3116.41 | 98 | 1560
314 | 204 | 3116.41 | 98 | 1560
315 | 205 | 3116.68 | 98 | 1560
316 | 205 | 3117.1 | 100 | 1560
317 | 205 | 3117.1 | 96 | 1560
318 | 204 | 3117.45 | 99 | 1560
319 | 204 | 3117.45 | 96 | 1560
320 | 204 | 3117.91 | 99 | 1560
321 | 204 | 3117.91 | 98 | 1560
322 | 204 | 3118.39 | 96 | 1560
323 | 204 | 3118.39 | 99 | 1560
324 | 205 | 3118.57 | 97 | 1560
325 | 205 | 3118.57 | 99 | 1560
326 | 205 | 3118.69 | 97 | 1560
327 | 205 | 3119.1 | 99 | 1560
328 | 205 | 3119.1 | 97 | 1560
329 | 205 | 3120.16 | 98 | 1560
330 | 205 | 3120.16 | 100 | 1560
331 | 205 | 3120.61 | 97 | 1560
332 | 205 | 3121.2 | 98 | 1560
333 | 205 | 3121.2 | 97 | 1560
334 | 205 | 3121.85 | 99 | 1560
335 | 205 | 3122.26 | 98 | 1560
336 | 205 | 3122.26 | 98 | 1560
337 | 205 | 3122.55 | 98 | 1560
338 | 205 | 3122.88 | 98 | 1560
339 | 205 | 3123.18 | 98 | 1560
340 | 205 | 3123.24 | 98 | 1560
341 | 205 | 3123.41 | 98 | 1560
342 | 206 | 3123.91 | 98 | 1560
343 | 206 | 3124.55 | 97 | 1560
344 | 206 | 3124.62 | 97 | 1560
345 | 205 | 3125.15 | 98 | 1560
346 | 205 | 3125.86 | 98 | 1560
347 | 205 | 3126.5 | 98 | 1560
348 | 206 | 3127.42 | 99 | 1560
349 | 206 | 3127.52 | 95 | 1560
350 | 206 | 3127.55 | 98 | 1560
351 | 206 | 3127.55 | 98 | 1560
352 | 206 | 3127.68 | 97 | 1560
