Tiempo(s) | CPU_SLAM(%) | RAM_SLAM(MB) | GPU_SLAM(%) | VRAM_SLAM(MiB)
0 | 0.0 | 27.3828 | 11 | 663
1 | 99.0 | 363.152 | 24 | 651
2 | 104 | 640.262 | 33 | 651
3 | 79.0 | 911.672 | 25 | 651
4 | 85.4 | 1188.95 | 18 | 656
5 | 89.3 | 1656.59 | 32 | 553
6 | 91.8 | 2194.87 | 28 | 553
7 | 93.6 | 2259.96 | 13 | 541
8 | 95.0 | 2318.52 | 35 | 541
9 | 96.0 | 2373.04 | 27 | 541
10 | 97.0 | 2437.74 | 28 | 531
11 | 97.6 | 2509.03 | 8 | 531
12 | 98.3 | 2582.18 | 3 | 531
13 | 99.0 | 2804.88 | 15 | 590
14 | 101 | 2951.03 | 14 | 1160
15 | 105 | 2969.4 | 88 | 1189
16 | 109 | 2972.71 | 90 | 1189
17 | 106 | 2972.71 | 87 | 1189
18 | 110 | 2974.21 | 90 | 1205
19 | 113 | 2974.21 | 88 | 1209
20 | 115 | 2975.21 | 89 | 1208
21 | 118 | 2975.21 | 87 | 1224
22 | 121 | 2991.23 | 93 | 1637
23 | 124 | 2992.81 | 98 | 1637
24 | 127 | 2993.03 | 98 | 1637
25 | 130 | 2997.81 | 98 | 1637
26 | 133 | 2998.57 | 98 | 1637
27 | 135 | 3000.69 | 99 | 1637
28 | 137 | 3001.7 | 98 | 1637
29 | 140 | 3003.16 | 98 | 1637
30 | 142 | 3003.98 | 99 | 1637
31 | 144 | 3004 | 98 | 1637
32 | 145 | 3005.08 | 99 | 1637
33 | 143 | 3010.12 | 98 | 1637
34 | 144 | 3010.89 | 98 | 1637
35 | 146 | 3011.81 | 99 | 1637
36 | 147 | 3013.08 | 97 | 1637
37 | 149 | 3013.08 | 98 | 1637
38 | 150 | 3014.37 | 97 | 1637
39 | 152 | 3014.44 | 97 | 1637
40 | 153 | 3014.46 | 96 | 1637
41 | 154 | 3015.16 | 97 | 1637
42 | 155 | 3015.36 | 97 | 1637
43 | 156 | 3015.55 | 98 | 1637
44 | 157 | 3016.25 | 97 | 1637
45 | 159 | 3016.43 | 97 | 1637
46 | 160 | 3016.62 | 100 | 1637
47 | 158 | 3016.72 | 97 | 1637
48 | 159 | 3017.04 | 98 | 1637
49 | 160 | 3018.16 | 98 | 1637
50 | 162 | 3018.16 | 99 | 1637
51 | 169 | 3018.93 | 78 | 1637
52 | 177 | 3019.43 | 98 | 1637
53 | 182 | 3019.43 | 93 | 1637
54 | 189 | 3019.83 | 84 | 1637
55 | 197 | 3020.15 | 79 | 1637
56 | 201 | 3021.18 | 88 | 1637
57 | 208 | 3021.18 | 98 | 1637
58 | 211 | 3021.41 | 98 | 1637
